gene	all_snps	covered_snps	line_217	line_386	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	40	2	1	0	1.0	1.0	7
FBgn0000014	20	0	0	0	1.0	1.0	5
FBgn0000015	25	1	2	0	0.5	1.0	4
FBgn0000017	27	2	1	1	1.0	1.0	132
FBgn0000018	12	5	12	11	1.0	1.0	42
FBgn0000022	1	0	0	0	1.0	1.0	0
FBgn0000024	0	0	0	0	1.0	1.0	25
FBgn0000028	1	0	0	0	1.0	1.0	0
FBgn0000032	1	0	0	0	1.0	1.0	45
FBgn0000036	15	0	0	0	1.0	1.0	0
FBgn0000037	6	0	0	0	1.0	1.0	0
FBgn0000038	8	0	0	0	1.0	1.0	0
FBgn0000039	23	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	7065
FBgn0000043	2	1	32	45	0.1710609735539115	1.0	511
FBgn0000044	27	4	97	89	0.6078857641460883	1.0	503
FBgn0000045	0	0	0	0	1.0	1.0	23
FBgn0000046	8	2	9	19	0.08715855330228799	1.0	253
FBgn0000047	2	1	1	0	1.0	1.0	6
FBgn0000052	51	6	6	3	0.5078125000000004	1.0	30
FBgn0000053	46	3	2	2	1.0	1.0	8
FBgn0000054	3	2	3	1	0.6250000000000001	1.0	65
FBgn0000055	10	0	0	0	1.0	1.0	0
FBgn0000056	6	0	0	0	1.0	1.0	0
FBgn0000057	6	2	2	2	1.0	1.0	23
FBgn0000061	3	0	0	0	1.0	1.0	0
FBgn0000063	6	0	0	0	1.0	1.0	1
FBgn0000064	8	3	79	82	0.8748178672015419	1.0	1145
FBgn0000071	3	0	0	0	1.0	1.0	0
FBgn0000075	12	0	0	0	1.0	1.0	2
FBgn0000077	0	0	0	0	1.0	1.0	61
FBgn0000078	8	2	104	4	3.432246284359978E-26	5.1034070002148516E-23	1915
FBgn0000079	1	1	47	157	4.8172910084481004E-15	4.476768750288425E-12	3458
FBgn0000083	12	8	80	68	0.3659440738175881	1.0	558
FBgn0000084	0	0	0	0	1.0	1.0	40
FBgn0000092	9	2	0	1	1.0	1.0	3
FBgn0000094	5	0	0	0	1.0	1.0	1
FBgn0000097	19	7	19	18	0.9999999999999997	1.0	321
FBgn0000099	13	0	0	0	1.0	1.0	0
FBgn0000100	1	1	4	3	1.0	1.0	2008
FBgn0000108	7	0	0	0	1.0	1.0	3
FBgn0000109	6	6	15	31	0.0258960817932348	0.9923939179989903	111
FBgn0000114	21	4	1	1	1.0	1.0	10
FBgn0000115	0	0	0	0	1.0	1.0	112
FBgn0000116	19	11	77	116	0.004979102414443156	0.35938967864250143	1857
FBgn0000117	0	0	0	0	1.0	1.0	189
FBgn0000119	62	3	2	4	0.6875000000000004	1.0	22
FBgn0000120	1	0	0	0	1.0	1.0	7
FBgn0000121	9	0	0	0	1.0	1.0	0
FBgn0000137	8	0	0	0	1.0	1.0	0
FBgn0000139	24	6	10	16	0.32693958282470637	1.0	90
FBgn0000140	2	0	0	0	1.0	1.0	2
FBgn0000142	35	2	4	1	0.3749999999999999	1.0	19
FBgn0000146	10	0	0	0	1.0	1.0	3
FBgn0000147	4	0	0	0	1.0	1.0	0
FBgn0000150	0	0	0	0	1.0	1.0	655
FBgn0000152	18	0	0	0	1.0	1.0	5
FBgn0000153	17	0	0	0	1.0	1.0	0
FBgn0000157	10	0	0	0	1.0	1.0	0
FBgn0000158	2	0	0	0	1.0	1.0	1
FBgn0000163	30	4	0	7	0.015625000000000003	0.7192821207430342	56
FBgn0000166	3	0	0	0	1.0	1.0	0
FBgn0000171	0	0	0	0	1.0	1.0	31
FBgn0000173	0	0	0	0	1.0	1.0	289
FBgn0000179	15	0	0	0	1.0	1.0	0
FBgn0000180	21	1	0	4	0.125	1.0	5
FBgn0000181	12	4	0	10	0.001953125	0.19105931332236842	636
FBgn0000182	17	0	0	0	1.0	1.0	3
FBgn0000183	8	1	3	2	0.9999999999999998	1.0	108
FBgn0000206	18	0	0	0	1.0	1.0	0
FBgn0000210	38	2	0	3	0.25000000000000006	1.0	3
FBgn0000212	10	0	0	0	1.0	1.0	52
FBgn0000216	6	0	0	0	1.0	1.0	0
FBgn0000221	2	1	1	0	1.0	1.0	19
FBgn0000227	20	0	0	0	1.0	1.0	0
FBgn0000228	47	2	7	4	0.5488281249999998	1.0	69
FBgn0000229	25	6	12	8	0.5034446716308593	1.0	273
FBgn0000233	12	0	0	0	1.0	1.0	0
FBgn0000239	3	0	0	0	1.0	1.0	58
FBgn0000241	31	2	4	2	0.6875000000000004	1.0	3
FBgn0000242	13	0	0	0	1.0	1.0	3
FBgn0000244	11	0	0	0	1.0	1.0	107
