gene	all_snps	covered_snps	line_426	line_287	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	10	0	0	0	1.0	1.0	3
FBgn0000014	4	0	0	0	1.0	1.0	11
FBgn0000015	15	0	0	0	1.0	1.0	8
FBgn0000017	7	1	7	14	0.1892471313476564	1.0	62
FBgn0000018	0	0	0	0	1.0	1.0	34
FBgn0000022	0	0	0	0	1.0	1.0	0
FBgn0000024	18	2	7	2	0.17968750000000003	1.0	81
FBgn0000028	3	0	0	0	1.0	1.0	0
FBgn0000032	4	2	0	2	0.5	1.0	36
FBgn0000036	17	0	0	0	1.0	1.0	0
FBgn0000037	2	0	0	0	1.0	1.0	0
FBgn0000038	20	0	0	0	1.0	1.0	4
FBgn0000039	19	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	2502
FBgn0000043	0	0	0	0	1.0	1.0	190
FBgn0000044	11	2	7	11	0.48068237304687494	1.0	494
FBgn0000045	1	0	0	0	1.0	1.0	6
FBgn0000046	20	6	45	43	0.9151865048428769	1.0	333
FBgn0000047	6	0	0	0	1.0	1.0	0
FBgn0000052	5	2	1	3	0.6250000000000001	1.0	11
FBgn0000053	16	1	3	1	0.6250000000000001	1.0	22
FBgn0000054	0	0	0	0	1.0	1.0	67
FBgn0000055	8	0	0	0	1.0	1.0	0
FBgn0000056	4	0	0	0	1.0	1.0	0
FBgn0000057	5	0	0	0	1.0	1.0	18
FBgn0000061	2	0	0	0	1.0	1.0	0
FBgn0000063	12	0	0	0	1.0	1.0	0
FBgn0000064	14	6	127	109	0.2684273116918928	1.0	1025
FBgn0000071	7	0	0	0	1.0	1.0	0
FBgn0000075	7	0	0	0	1.0	1.0	2
FBgn0000077	4	2	6	2	0.2890625000000001	1.0	38
FBgn0000078	1	0	0	0	1.0	1.0	549
FBgn0000079	0	0	0	0	1.0	1.0	1698
FBgn0000083	7	3	9	12	0.6636238098144532	1.0	368
FBgn0000084	0	0	0	0	1.0	1.0	24
FBgn0000092	8	0	0	0	1.0	1.0	0
FBgn0000094	4	0	0	0	1.0	1.0	0
FBgn0000097	7	2	2	0	0.5	1.0	66
FBgn0000099	8	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	2253
FBgn0000108	5	0	0	0	1.0	1.0	10
FBgn0000109	8	7	5	6	0.9999999999999998	1.0	32
FBgn0000114	16	6	2	0	0.5	1.0	6
FBgn0000115	0	0	0	0	1.0	1.0	109
FBgn0000116	15	0	0	0	1.0	1.0	1993
FBgn0000117	4	0	0	0	1.0	1.0	170
FBgn0000119	6	0	0	0	1.0	1.0	21
FBgn0000120	0	0	0	0	1.0	1.0	4
FBgn0000121	11	0	0	0	1.0	1.0	0
