"logFC" "AveExpr" "t" "P.Value" "adj.P.Val" "B" "gene.name"
"FBgn0033153" 6.4257597533452 7.46387725047996 42.8846187100164 1.58961168551003e-54 1.48930718815435e-50 113.790404263496 "Gadd45"
"FBgn0014018" 3.48909159458641 8.93644728144258 37.5412183857765 2.21849516206309e-50 1.03925405866846e-46 104.468600667455 "Rel"
"FBgn0001297" 3.63036364399406 8.53022856143097 35.6832355436882 8.18969698240192e-49 2.13436051771484e-45 100.952947216862 "kay"
"FBgn0041184" 6.09984937954599 8.09394640094653 35.6295405694678 9.1124368351578e-49 2.13436051771484e-45 100.842164779594 "Socs36E"
"FBgn0033928" 4.24354366723857 5.73310381612646 35.1189139696401 2.53339419668809e-48 4.74707404575415e-45 99.8753457661922 "Arc2"
"FBgn0261113" 3.19510376410908 11.1796282568463 33.1539532616235 1.47083220637303e-46 2.29670449025149e-43 95.7243759677027 "Xrp1"
"FBgn0036237" 2.30082874593482 5.95156233849366 32.8310537189568 2.92517505368099e-46 3.91513786827674e-43 95.2331435243163 "viaf"
"FBgn0000568" 3.47126562632052 7.15179905570118 31.3036139621071 8.20601958729995e-45 9.61027468917666e-42 91.905561491843 "Eip75B"
"FBgn0028985" 3.79258089935925 7.91282118328882 31.0032258017866 1.60711290018304e-44 1.67300452909054e-41 91.2195492106536 "Spn4"
"FBgn0050109" 2.50447312672382 4.65662381436491 30.7642286503344 2.75447258280374e-44 2.58066536282883e-41 90.697827664473 "CG30109"
"FBgn0016031" 3.47708599949496 7.65542301280742 30.4402812009948 5.75036128522048e-44 4.89773953465733e-41 89.9637252243637 "lama"
"FBgn0031662" 3.43392383898556 5.70901268416068 29.9017204541816 1.9842296028112e-43 1.54918726239485e-40 88.7434462600054 "CG3792"
"FBgn0037293" 1.64413677376979 6.3487636732822 29.7776242183653 2.64666889258969e-43 1.90743391189791e-40 88.4669364952217 "CG12007"
"FBgn0034573" -1.39344911041173 5.42907438431741 -29.4747681800766 5.36889811879319e-43 3.35341376499823e-40 87.7667678551327 "CG3295"
"FBgn0051216" 5.46930929253622 5.03229157608194 29.4889386620346 5.19341243827769e-43 3.35341376499823e-40 87.6549673631605 "Naam"
"FBgn0040475" 2.29416417130145 7.38899197363219 29.0004671487835 1.64571179811225e-42 9.63667114782104e-40 86.6387826782379 "SH3PX1"
"FBgn0033051" 2.33793580757863 6.22293170725845 28.7225109953652 3.19559577627662e-42 1.66330760155198e-39 85.985313105256 "dream"
"FBgn0005660" 6.32546819699801 4.78420015025854 28.820004337149 2.53047127203774e-42 1.39458737339539e-39 85.8641437571979 "Ets21C"
"FBgn0034089" -1.6709959920226 7.29892297098288 -28.345261939994 7.93324853579431e-42 3.91192660693984e-39 85.075358959465 "CG8446"
"FBgn0028476" 2.67512968321923 7.24846762669182 28.2268441740212 1.05757570573113e-41 4.95421339349746e-39 84.7884355082405 "CG15817"
"FBgn0050345" 3.21984961781807 6.97375070339613 28.114841428189 1.38934057341873e-41 6.19844372969527e-39 84.5173882682705 "CG30345"
"FBgn0052982" 3.89084293325788 6.2301412383692 27.9205135339619 2.23530217049993e-41 9.51933910700631e-39 84.043346311076 "CG32982"
"FBgn0039674" -1.290171120957 6.36533306791913 -27.4847355665902 6.55879065505043e-41 2.56038790196531e-38 82.9729110461459 "CG1907"
"FBgn0003557" 2.22019140176332 8.48903729492781 27.4881534154651 6.50329632031995e-41 2.56038790196531e-38 82.9690907587238 "Su(dx)"
"FBgn0032805" 2.80795774092898 5.03983700871389 27.4373713896161 7.37906578899014e-41 2.7309174136667e-38 82.853552985758 "CG10337"
"FBgn0000395" 3.10174286083189 4.82963595339369 27.4266568235789 7.57859459444275e-41 2.7309174136667e-38 82.8220629247604 "cv-2"
"FBgn0001104" 1.85258625977324 7.05900190722101 27.3469295720166 9.2454234117203e-41 3.17176686216828e-38 82.6304126563839 "Galphai"
"FBgn0037092" 1.75530890005163 5.97858337328037 27.3369337343999 9.47907697093734e-41 3.17176686216828e-38 82.6054046102105 "M6"
"FBgn0039644" 2.73123726568294 6.65865295217578 27.1454473470462 1.53122457803149e-40 4.94691140399209e-38 82.1275803898472 "CG11897"
"FBgn0027601" 2.84513825437256 6.89072785639853 27.0953055527739 1.73690035675075e-40 5.4243398141326e-38 82.001754792223 "pdgy"
"FBgn0250753" 1.2736901525972 9.12758167545676 26.9849850702262 2.29348228441271e-40 6.93149532989119e-38 81.7098303229289 "kra"
"FBgn0022023" -1.31482500497472 7.15356403987644 -26.9289435032598 2.64225285580333e-40 7.73602093938168e-38 81.5834088505069 "eIF-3p40"
"FBgn0085424" 2.97482255240975 8.09790420027106 26.854071778377 3.19354800486943e-40 9.0667731083702e-38 81.3896186101902 "nub"
"FBgn0029891" -1.34281225052466 6.79959540044383 -26.7687442077312 3.96546102381853e-40 1.09271777447517e-37 81.1783475599024 "Pink1"
"FBgn0250747" 1.76036108520928 5.91323924284133 26.6322337434564 5.6133089779621e-40 1.5026026232722e-37 80.8297322860057 "l(2)gd1"
"FBgn0035405" 1.78161018727056 3.99808609704402 26.5531516706159 6.86972167442798e-40 1.78784506576988e-37 80.6258308107126 "pfk"
"FBgn0086346" 2.28769484429438 8.34446021235258 26.4297567957094 9.42401929457041e-40 2.35966398008545e-37 80.3110583557227 "ALiX"
"FBgn0037554" 2.07968029660804 4.19203693345542 26.42374320316 9.57062986906256e-40 2.35966398008545e-37 80.2976081263486 "DNApol-iota"
"FBgn0027509" 1.64231181984714 5.55834114908933 26.3930517616543 1.03556321954142e-39 2.46383869225952e-37 80.2169484158932 "CG7261"
"FBgn0027561" 2.5094144071029 6.28329491762866 26.3869570797721 1.0519110651124e-39 2.46383869225952e-37 80.2045341925751 "CG18659"
"FBgn0001291" 2.09363315342218 6.8770768252227 26.3652546958641 1.11227413947729e-39 2.48116581256256e-37 80.1495847523182 "Jra"
"FBgn0033786" 1.71662727590687 10.048287442951 26.3715842834693 1.0943155663806e-39 2.48116581256256e-37 80.144745667411 "CG3884"
"FBgn0042102" 2.76977844557797 7.95759812578233 26.1717241358333 1.83240942515954e-39 3.99252183821389e-37 79.651364069325 "CG18745"
"FBgn0031285" -1.83421111083332 8.22266798752969 -26.1433569598307 1.97201649005842e-39 4.19905056712666e-37 79.5775915041115 "CG3662"
"FBgn0037231" 1.97712690031897 5.80082886394898 26.0963662028458 2.227383431502e-39 4.63741230438716e-37 79.4535322150515 "Vps24"
"FBgn0259711" 4.98672974655268 6.05400577075743 26.0794422693766 2.32734261123577e-39 4.74018976623216e-37 79.4116939490033 "CG42365"
"FBgn0031450" 1.99372429660028 6.75671625227303 26.0617239086722 2.43686386350555e-39 4.85765479514542e-37 79.3664620664358 "Hrs"
"FBgn0013717" 1.48938118118847 4.28067827155748 26.0295345252795 2.64935967620683e-39 5.17121891799621e-37 79.2842722177618 "not"
"FBgn0033624" -1.739845230074 6.62711277633776 -25.9920549283099 2.92054180885504e-39 5.58419514431895e-37 79.184318791597 "CG12384"
"FBgn0038552" -1.42969396781292 5.62528170389673 -25.9303524255607 3.42961713827901e-39 6.42641659370721e-37 79.0159855958095 "CG18012"
"FBgn0032480" -1.1933241888689 6.3849779392905 -25.8902767686459 3.80750465226996e-39 6.99461001708181e-37 78.9175911756753 "Edem2"
"FBgn0011236" 1.79788190460094 4.32352910759934 25.8370500898795 4.37541170967853e-39 7.88331390538041e-37 78.784288306693 "ken"
"FBgn0051694" 4.04179501572504 8.65780722251664 25.7654766202995 5.2767507138098e-39 9.32790140333661e-37 78.5937848902895 "CG31694"
"FBgn0035715" 2.24208890640179 7.39819783488791 25.609782322201 7.94234168868489e-39 1.37799628298683e-36 78.1895819567468 "CG10103"
"FBgn0002524" 2.66344218875767 8.04409817475445 25.5821777117742 8.54129575034338e-39 1.4549709069994e-36 78.1173555141434 "lace"
"FBgn0032729" -1.48376449784997 5.03018134560156 -25.5604339969311 9.04511663413879e-39 1.5132803168794e-36 78.0451278113604 "CG10639"
"FBgn0261064" 1.33599051657236 4.79944006480922 25.5394627263802 9.55952566142374e-39 1.57128413898033e-36 77.995697442573 "Rbsn-5"
"FBgn0086689" -1.943961753022 6.89236576971825 -25.4704160422049 1.1471999376541e-38 1.85312348549678e-36 77.8199764031975 "Hph"
"FBgn0031635" -1.00761666565032 5.36912545307709 -25.3150782703365 1.7316162946299e-38 2.74974797701484e-36 77.3934457416089 "tank"
"FBgn0005640" 1.71137225267893 6.11627164642689 25.3059156184314 1.77429639395059e-38 2.77056381915384e-36 77.3800395839733 "Eip63E"
"FBgn0034160" 6.14523456279807 8.63673415135191 25.2680034106778 1.96251279129649e-38 3.01422661338636e-36 77.2856347678061 "CG5550"
"FBgn0250823" 1.31459546497421 7.198592795551 25.2600448316945 2.00452183739443e-38 3.029091144282e-36 77.2643566904087 "gish"
"FBgn0033206" 0.996759453104462 5.02826249330591 25.2374447389707 2.12884408088456e-38 3.16589526885832e-36 77.1908650932021 "CG12042"
"FBgn0038922" -1.48581275868171 6.76082781446941 -25.1926078418878 2.39908050268445e-38 3.5120289421329e-36 77.0822365961284 "CG6439"
"FBgn0034110" -1.37321827688011 5.29354216221524 -25.1811738123153 2.47338651831858e-38 3.56510127540413e-36 77.0379622534116 "Atg9"
