Cross	Line1	Line2	Line1_nb	Line2_nb
1x2	DGRP-217	DGRP-386	1	2
2x3	DGRP-386	DGRP-426	2	3
3x4	DGRP-426	DGRP-287	3	4
4x5	DGRP-287	DGRP-802	4	5
5x6	DGRP-802	DGRP-208	5	6
6x7	DGRP-208	DGRP-313	6	7
7x8	DGRP-313	DGRP-707	7	8
8x9	DGRP-707	DGRP-379	8	9
9x10	DGRP-379	DGRP-486	9	10
10x11	DGRP-486	DGRP-535	10	11
11x12	DGRP-535	DGRP-738	11	12
12x13	DGRP-738	DGRP-721	12	13
13x14	DGRP-721	DGRP-890	13	14
14x15	DGRP-890	DGRP-332	14	15
15x16	DGRP-332	DGRP-301	15	16
16x17	DGRP-301	DGRP-129	16	17
17x18	DGRP-129	DGRP-229	17	18
18x19	DGRP-229	DGRP-639	18	19
19x20	DGRP-639	DGRP-142	19	20
20x1	DGRP-142	DGRP-217	20	1
