gene	all_snps	covered_snps	line_486	line_535	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	29	0	0	0	1.0	1.0	0
FBgn0000014	15	0	0	0	1.0	1.0	3
FBgn0000015	22	0	0	0	1.0	1.0	0
FBgn0000017	3	0	0	0	1.0	1.0	42
FBgn0000018	0	0	0	0	1.0	1.0	25
FBgn0000022	2	0	0	0	1.0	1.0	0
FBgn0000024	16	3	7	4	0.5488281249999998	1.0	37
FBgn0000028	8	0	0	0	1.0	1.0	0
FBgn0000032	0	0	0	0	1.0	1.0	45
FBgn0000036	17	0	0	0	1.0	1.0	1
FBgn0000037	13	0	0	0	1.0	1.0	0
FBgn0000038	14	0	0	0	1.0	1.0	0
FBgn0000039	12	0	0	0	1.0	1.0	0
FBgn0000042	0	0	0	0	1.0	1.0	2918
FBgn0000043	0	0	0	0	1.0	1.0	412
FBgn0000044	18	2	2	4	0.6875000000000004	1.0	420
FBgn0000045	0	0	0	0	1.0	1.0	14
FBgn0000046	16	2	25	14	0.08069046775199248	1.0	227
FBgn0000047	1	0	0	0	1.0	1.0	2
FBgn0000052	9	0	0	0	1.0	1.0	9
FBgn0000053	23	0	0	0	1.0	1.0	22
FBgn0000054	1	1	0	1	1.0	1.0	45
FBgn0000055	1	0	0	0	1.0	1.0	0
FBgn0000056	1	0	0	0	1.0	1.0	0
FBgn0000057	3	2	2	3	0.9999999999999998	1.0	25
FBgn0000061	2	0	0	0	1.0	1.0	0
FBgn0000063	4	0	0	0	1.0	1.0	0
FBgn0000064	13	5	140	87	5.29336713809297E-4	0.02925913605067077	1184
FBgn0000071	0	0	0	0	1.0	1.0	0
FBgn0000075	8	0	0	0	1.0	1.0	1
FBgn0000077	6	3	5	0	0.0625	1.0	40
FBgn0000078	4	4	12	13	0.9999999999999999	1.0	453
FBgn0000079	3	3	286	102	2.640354461348174E-21	1.7845195675357273E-18	4575
FBgn0000083	8	2	16	19	0.7358788008568807	1.0	420
FBgn0000084	0	0	0	0	1.0	1.0	16
FBgn0000092	8	0	0	0	1.0	1.0	0
FBgn0000094	3	0	0	0	1.0	1.0	0
FBgn0000097	16	2	1	1	1.0	1.0	45
FBgn0000099	19	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	2112
FBgn0000108	7	0	0	0	1.0	1.0	3
FBgn0000109	9	8	13	7	0.1892471313476563	1.0	62
FBgn0000114	16	0	0	0	1.0	1.0	9
FBgn0000115	0	0	0	0	1.0	1.0	125
FBgn0000116	9	0	0	0	1.0	1.0	2268
FBgn0000117	1	0	0	0	1.0	1.0	172
FBgn0000119	19	2	5	3	0.7265625000000002	1.0	14
FBgn0000120	1	0	0	0	1.0	1.0	0
FBgn0000121	14	0	0	0	1.0	1.0	4
FBgn0000137	5	0	0	0	1.0	1.0	0
FBgn0000139	14	10	27	15	0.08842954698775418	1.0	103
FBgn0000140	2	0	0	0	1.0	1.0	0
FBgn0000142	22	2	3	0	0.25000000000000006	1.0	13
FBgn0000146	6	0	0	0	1.0	1.0	0
FBgn0000147	0	0	0	0	1.0	1.0	2
FBgn0000150	2	2	16	12	0.571588188409805	1.0	832
FBgn0000152	20	1	0	2	0.5	1.0	9
FBgn0000153	24	0	0	0	1.0	1.0	0
FBgn0000157	0	0	0	0	1.0	1.0	0
FBgn0000158	2	0	0	0	1.0	1.0	0
FBgn0000163	13	1	0	2	0.5	1.0	10
FBgn0000166	1	0	0	0	1.0	1.0	0
FBgn0000171	5	2	2	3	0.9999999999999998	1.0	17
FBgn0000173	2	2	16	8	0.1515896320343018	1.0	231
FBgn0000179	13	0	0	0	1.0	1.0	0
FBgn0000180	7	1	0	2	0.5	1.0	10
FBgn0000181	10	6	58	27	0.001016220951347892	0.04986861163561652	857
FBgn0000182	18	0	0	0	1.0	1.0	0
FBgn0000183	11	1	0	2	0.5	1.0	46
FBgn0000206	15	0	0	0	1.0	1.0	0
FBgn0000210	10	0	0	0	1.0	1.0	0
FBgn0000212	12	0	0	0	1.0	1.0	19
FBgn0000216	6	0	0	0	1.0	1.0	0
FBgn0000221	14	4	4	1	0.3749999999999999	1.0	17
FBgn0000227	2	0	0	0	1.0	1.0	0
FBgn0000228	12	0	0	0	1.0	1.0	29
FBgn0000229	27	2	3	2	0.9999999999999998	1.0	113
FBgn0000233	5	0	0	0	1.0	1.0	0
FBgn0000239	0	0	0	0	1.0	1.0	12
FBgn0000241	24	2	0	3	0.25000000000000006	1.0	0
FBgn0000242	11	0	0	0	1.0	1.0	3
FBgn0000244	32	11	15	12	0.7011080384254462	1.0	72
FBgn0000246	15	0	0	0	1.0	1.0	0
FBgn0000247	29	1	3	0	0.25000000000000006	1.0	20
FBgn0000250	4	0	0	0	1.0	1.0	137
FBgn0000251	13	1	0	1	1.0	1.0	60
FBgn0000253	3	2	15	4	0.019210815429687493	0.4784683662043942	862
FBgn0000256	74	4	10	5	0.30175781250000033	1.0	72
FBgn0000257	15	3	8	2	0.10937499999999992	1.0	43
FBgn0000258	0	0	0	0	1.0	1.0	146
FBgn0000259	9	2	2	1	0.6250000000000002	1.0	134
FBgn0000261	4	1	34	12	0.001088538206474253	0.05289370781720807	373
FBgn0000273	15	0	0	0	1.0	1.0	10
FBgn0000274	3	0	0	0	1.0	1.0	0
FBgn0000276	3	0	0	0	1.0	1.0	0
FBgn0000277	12	0	0	0	1.0	1.0	2
FBgn0000278	4	0	0	0	1.0	1.0	0
FBgn0000279	8	0	0	0	1.0	1.0	0
FBgn0000280	9	0	0	0	1.0	1.0	0
FBgn0000281	7	0	0	0	1.0	1.0	0
FBgn0000283	0	0	0	0	1.0	1.0	29
FBgn0000286	18	0	0	0	1.0	1.0	27
FBgn0000287	39	0	0	0	1.0	1.0	0
FBgn0000289	31	5	5	4	1.0	1.0	42
FBgn0000299	10	1	1	0	1.0	1.0	2
FBgn0000303	26	0	0	0	1.0	1.0	1
FBgn0000307	33	2	2	0	0.5	1.0	6
FBgn0000308	1	1	1	0	1.0	1.0	699
FBgn0000313	21	0	0	0	1.0	1.0	0
FBgn0000316	3	0	0	0	1.0	1.0	0
FBgn0000317	43	2	3	1	0.6250000000000001	1.0	8
FBgn0000318	4	4	61	34	0.007313123139453636	0.22748708778354834	499
FBgn0000319	12	0	0	0	1.0	1.0	179
FBgn0000320	8	0	0	0	1.0	1.0	0
FBgn0000326	12	11	26	13	0.053251914097927636	1.0	53
FBgn0000330	11	3	3	0	0.25000000000000006	1.0	6
FBgn0000337	10	0	0	0	1.0	1.0	0
FBgn0000338	32	12	80	29	1.0809082433583723E-6	1.3066686723980193E-4	266
FBgn0000339	1	0	0	0	1.0	1.0	271
FBgn0000346	9	0	0	0	1.0	1.0	0
FBgn0000351	8	0	0	0	1.0	1.0	0
FBgn0000352	13	2	1	0	1.0	1.0	5
FBgn0000355	1	0	0	0	1.0	1.0	0
FBgn0000356	8	0	0	0	1.0	1.0	0
FBgn0000357	4	1	0	1	1.0	1.0	3
FBgn0000358	3	0	0	0	1.0	1.0	0
FBgn0000359	3	0	0	0	1.0	1.0	0
FBgn0000360	4	0	0	0	1.0	1.0	0
FBgn0000363	49	0	0	0	1.0	1.0	0
FBgn0000370	14	8	69	32	2.959601961545838E-4	0.018109597352355993	591
FBgn0000376	1	0	0	0	1.0	1.0	3
FBgn0000377	10	7	10	7	0.6290588378906248	1.0	37
FBgn0000382	12	3	0	1	1.0	1.0	21
FBgn0000384	0	0	0	0	1.0	1.0	11
FBgn0000392	2	0	0	0	1.0	1.0	17
FBgn0000394	3	0	0	0	1.0	1.0	16
FBgn0000395	20	3	2	1	0.6250000000000002	1.0	21
FBgn0000404	4	0	0	0	1.0	1.0	0
FBgn0000405	5	0	0	0	1.0	1.0	2
FBgn0000406	1	0	0	0	1.0	1.0	9
FBgn0000409	1	1	73	33	1.2822072946836084E-4	0.009210212688236992	727
FBgn0000411	3	0	0	0	1.0	1.0	0
FBgn0000412	2	2	8	4	0.3876953125000001	1.0	91
FBgn0000413	0	0	0	0	1.0	1.0	49
FBgn0000414	20	1	0	1	1.0	1.0	2
FBgn0000416	4	2	16	10	0.32693958282470637	1.0	841
FBgn0000422	3	0	0	0	1.0	1.0	8
FBgn0000426	0	0	0	0	1.0	1.0	26
FBgn0000427	2	0	0	0	1.0	1.0	0
FBgn0000439	6	0	0	0	1.0	1.0	0
FBgn0000442	21	0	0	0	1.0	1.0	9
FBgn0000447	5	1	0	1	1.0	1.0	97
FBgn0000448	6	0	0	0	1.0	1.0	1
FBgn0000449	21	0	0	0	1.0	1.0	0
FBgn0000451	13	3	1	0	1.0	1.0	16
