gene	all_snps	covered_snps	line_129	line_229	binomial_p	binomial_FDR	covering_reads
FBgn0000003	0	0	0	0	1.0	1.0	0
FBgn0000008	36	0	0	0	1.0	1.0	5
FBgn0000014	8	1	2	0	0.5	1.0	6
FBgn0000015	44	0	0	0	1.0	1.0	4
FBgn0000017	5	2	9	8	0.9999999999999999	1.0	56
FBgn0000018	7	1	2	1	0.6250000000000002	1.0	17
FBgn0000022	1	0	0	0	1.0	1.0	0
FBgn0000024	12	2	3	4	1.0	1.0	36
FBgn0000028	2	0	0	0	1.0	1.0	0
FBgn0000032	10	7	3	3	1.0	1.0	30
FBgn0000036	15	0	0	0	1.0	1.0	0
FBgn0000037	4	0	0	0	1.0	1.0	0
FBgn0000038	3	0	0	0	1.0	1.0	0
FBgn0000039	27	0	0	0	1.0	1.0	0
FBgn0000042	6	6	247	259	0.594119599594851	1.0	4700
FBgn0000043	1	0	0	0	1.0	1.0	558
FBgn0000044	0	0	0	0	1.0	1.0	241
FBgn0000045	2	0	0	0	1.0	1.0	11
FBgn0000046	18	8	24	19	0.542384011856484	1.0	137
FBgn0000047	2	0	0	0	1.0	1.0	3
FBgn0000052	30	0	0	0	1.0	1.0	15
FBgn0000053	61	2	1	0	1.0	1.0	7
FBgn0000054	0	0	0	0	1.0	1.0	44
FBgn0000055	23	0	0	0	1.0	1.0	0
FBgn0000056	14	0	0	0	1.0	1.0	0
FBgn0000057	1	0	0	0	1.0	1.0	14
FBgn0000061	5	0	0	0	1.0	1.0	0
FBgn0000063	15	0	0	0	1.0	1.0	1
FBgn0000064	7	0	0	0	1.0	1.0	616
FBgn0000071	0	0	0	0	1.0	1.0	0
FBgn0000075	16	0	0	0	1.0	1.0	0
FBgn0000077	5	3	2	3	0.9999999999999998	1.0	41
FBgn0000078	2	2	1	11	0.006347656250000002	0.6260844514628124	344
FBgn0000079	3	3	140	108	0.04879118972813555	1.0	3180
FBgn0000083	6	2	5	12	0.14346313476562486	1.0	496
FBgn0000084	0	0	0	0	1.0	1.0	28
FBgn0000092	0	0	0	0	1.0	1.0	0
FBgn0000094	0	0	0	0	1.0	1.0	1
FBgn0000097	4	1	4	1	0.3749999999999999	1.0	145
FBgn0000099	15	0	0	0	1.0	1.0	0
FBgn0000100	0	0	0	0	1.0	1.0	1187
FBgn0000108	8	0	0	0	1.0	1.0	0
FBgn0000109	0	0	0	0	1.0	1.0	32
FBgn0000114	25	0	0	0	1.0	1.0	9
FBgn0000115	1	0	0	0	1.0	1.0	105
FBgn0000116	9	6	58	115	1.7537873865135024E-5	0.006360259670748602	1136
FBgn0000117	4	1	1	1	1.0	1.0	154
FBgn0000119	48	4	4	3	1.0	1.0	10
FBgn0000120	9	0	0	0	1.0	1.0	0
FBgn0000121	14	0	0	0	1.0	1.0	0
FBgn0000137	6	0	0	0	1.0	1.0	0
FBgn0000139	13	10	19	14	0.48685024166479707	1.0	70
FBgn0000140	0	0	0	0	1.0	1.0	0
FBgn0000142	21	0	0	0	1.0	1.0	18
FBgn0000146	0	0	0	0	1.0	1.0	0
FBgn0000147	9	0	0	0	1.0	1.0	0
FBgn0000150	1	1	1	1	1.0	1.0	511
FBgn0000152	17	2	0	2	0.5	1.0	11
FBgn0000153	23	1	0	1	1.0	1.0	1
FBgn0000157	6	0	0	0	1.0	1.0	0
FBgn0000158	15	0	0	0	1.0	1.0	0
FBgn0000163	5	1	1	0	1.0	1.0	26
FBgn0000166	0	0	0	0	1.0	1.0	0
FBgn0000171	4	1	2	1	0.6250000000000002	1.0	22
FBgn0000173	2	2	7	7	1.0	1.0	167
FBgn0000179	5	0	0	0	1.0	1.0	5
FBgn0000180	32	12	1	5	0.21875	1.0	6
FBgn0000181	10	6	40	35	0.6444639138942261	1.0	512
FBgn0000182	8	0	0	0	1.0	1.0	0
FBgn0000183	7	2	3	1	0.6250000000000001	1.0	59
FBgn0000206	15	0	0	0	1.0	1.0	0
FBgn0000210	20	0	0	0	1.0	1.0	0
FBgn0000212	16	0	0	0	1.0	1.0	21
FBgn0000216	2	0	0	0	1.0	1.0	0
FBgn0000221	3	0	0	0	1.0	1.0	8
FBgn0000227	1	0	0	0	1.0	1.0	0
FBgn0000228	67	2	1	2	1.0	1.0	35
FBgn0000229	19	0	0	0	1.0	1.0	153
FBgn0000233	9	0	0	0	1.0	1.0	0
FBgn0000239	2	1	2	0	0.5	1.0	31
FBgn0000241	3	0	0	0	1.0	1.0	0
FBgn0000242	5	0	0	0	1.0	1.0	2
FBgn0000244	14	7	5	8	0.5810546874999996	1.0	77
FBgn0000246	1	0	0	0	1.0	1.0	15
FBgn0000247	26	1	1	0	1.0	1.0	16
FBgn0000250	9	7	16	13	0.7110711038112639	1.0	145
FBgn0000251	0	0	0	0	1.0	1.0	59
FBgn0000253	3	2	35	26	0.30567741986311825	1.0	1084
FBgn0000256	49	8	25	20	0.5514843298025194	1.0	92
FBgn0000257	11	5	6	2	0.2890625000000001	1.0	35
FBgn0000258	2	0	0	0	1.0	1.0	182
FBgn0000259	3	0	0	0	1.0	1.0	138
FBgn0000261	4	1	6	6	1.0	1.0	115
FBgn0000273	34	1	0	2	0.5	1.0	12
FBgn0000274	1	0	0	0	1.0	1.0	0
FBgn0000276	7	0	0	0	1.0	1.0	0
FBgn0000277	1	0	0	0	1.0	1.0	0
FBgn0000278	9	0	0	0	1.0	1.0	0
FBgn0000279	4	1	2	0	0.5	1.0	2
FBgn0000280	0	0	0	0	1.0	1.0	0
FBgn0000281	4	0	0	0	1.0	1.0	0
FBgn0000283	10	0	0	0	1.0	1.0	26
FBgn0000286	4	3	4	4	1.0	1.0	46
FBgn0000287	1	0	0	0	1.0	1.0	0
FBgn0000289	31	19	8	4	0.3876953125000001	1.0	58
FBgn0000299	8	1	0	2	0.5	1.0	3
FBgn0000303	7	2	0	1	1.0	1.0	1
FBgn0000307	35	2	2	0	0.5	1.0	9
FBgn0000308	4	1	32	41	0.34918183817058834	1.0	1002
FBgn0000313	3	0	0	0	1.0	1.0	1
FBgn0000316	0	0	0	0	1.0	1.0	0
FBgn0000317	19	3	6	0	0.031250000000000014	1.0	13
FBgn0000318	2	2	22	25	0.7708669945730265	1.0	290
FBgn0000319	16	0	0	0	1.0	1.0	360
FBgn0000320	12	0	0	0	1.0	1.0	0
FBgn0000326	5	4	6	2	0.2890625000000001	1.0	16
FBgn0000330	9	1	1	1	1.0	1.0	8
FBgn0000337	10	0	0	0	1.0	1.0	1
FBgn0000338	29	5	1	2	1.0	1.0	419
FBgn0000339	5	5	16	31	0.039986056826052295	1.0	155
FBgn0000346	12	0	0	0	1.0	1.0	0
FBgn0000351	9	0	0	0	1.0	1.0	0
FBgn0000352	6	0	0	0	1.0	1.0	4
FBgn0000355	0	0	0	0	1.0	1.0	1
FBgn0000356	0	0	0	0	1.0	1.0	0
FBgn0000357	1	0	0	0	1.0	1.0	1
FBgn0000358	5	0	0	0	1.0	1.0	0
FBgn0000359	3	0	0	0	1.0	1.0	0
FBgn0000360	6	0	0	0	1.0	1.0	0
FBgn0000363	29	0	0	0	1.0	1.0	0
FBgn0000370	11	8	80	45	0.002226488347320244	0.31316801921633264	580
FBgn0000376	8	0	0	0	1.0	1.0	4
FBgn0000377	10	4	5	5	1.0	1.0	29
FBgn0000382	27	3	1	2	1.0	1.0	52
FBgn0000384	0	0	0	0	1.0	1.0	10
FBgn0000392	7	0	0	0	1.0	1.0	16
FBgn0000394	2	0	0	0	1.0	1.0	16
FBgn0000395	14	5	6	3	0.5078125000000004	1.0	174
FBgn0000404	7	0	0	0	1.0	1.0	2
FBgn0000405	14	0	0	0	1.0	1.0	4
FBgn0000406	8	0	0	0	1.0	1.0	8
FBgn0000409	1	0	0	0	1.0	1.0	863
FBgn0000411	1	0	0	0	1.0	1.0	1
FBgn0000412	0	0	0	0	1.0	1.0	49
FBgn0000413	6	1	4	6	0.7539062500000002	1.0	135
FBgn0000414	41	0	0	0	1.0	1.0	0
FBgn0000416	0	0	0	0	1.0	1.0	438
FBgn0000422	13	5	6	5	0.9999999999999998	1.0	22
FBgn0000426	0	0	0	0	1.0	1.0	26
FBgn0000427	5	0	0	0	1.0	1.0	0
FBgn0000439	0	0	0	0	1.0	1.0	2
FBgn0000442	17	3	3	1	0.6250000000000001	1.0	13
FBgn0000447	5	1	0	4	0.125	1.0	69
FBgn0000448	16	0	0	0	1.0	1.0	4
FBgn0000449	13	0	0	0	1.0	1.0	0
FBgn0000451	16	1	2	0	0.5	1.0	29
FBgn0000454	6	0	0	0	1.0	1.0	361
FBgn0000455	7	4	15	4	0.019210815429687493	1.0	116
FBgn0000459	4	0	0	0	1.0	1.0	8
FBgn0000463	28	6	5	4	1.0	1.0	16
FBgn0000464	28	0	0	0	1.0	1.0	2
FBgn0000472	1	1	0	2	0.5	1.0	372
FBgn0000473	4	3	0	2	0.5	1.0	65
FBgn0000477	11	4	1	0	1.0	1.0	9
FBgn0000479	12	1	1	0	1.0	1.0	39
FBgn0000482	7	1	2	5	0.45312499999999994	1.0	19
FBgn0000489	13	3	4	3	1.0	1.0	24
FBgn0000490	30	0	0	0	1.0	1.0	18
FBgn0000492	10	0	0	0	1.0	1.0	0
FBgn0000497	66	0	0	0	1.0	1.0	2
FBgn0000499	6	6	2	2	1.0	1.0	18
FBgn0000500	1	0	0	0	1.0	1.0	0
FBgn0000504	0	0	0	0	1.0	1.0	37
FBgn0000520	2	0	0	0	1.0	1.0	19
FBgn0000524	15	0	0	0	1.0	1.0	9
FBgn0000527	15	0	0	0	1.0	1.0	0
FBgn0000529	19	0	0	0	1.0	1.0	0
FBgn0000533	0	0	0	0	1.0	1.0	16
FBgn0000535	9	0	0	0	1.0	1.0	0
FBgn0000536	8	2	1	3	0.6250000000000001	1.0	50
FBgn0000541	1	0	0	0	1.0	1.0	33
FBgn0000542	40	2	1	0	1.0	1.0	1
FBgn0000543	18	2	1	1	1.0	1.0	13
FBgn0000546	10	0	0	0	1.0	1.0	29
FBgn0000547	37	1	2	0	0.5	1.0	8
FBgn0000551	3	0	0	0	1.0	1.0	0
FBgn0000552	0	0	0	0	1.0	1.0	0
FBgn0000556	3	3	4	3	1.0	1.0	3208
FBgn0000557	6	0	0	0	1.0	1.0	1
FBgn0000559	0	0	0	0	1.0	1.0	1105
FBgn0000560	2	0	0	0	1.0	1.0	2
FBgn0000562	14	1	0	2	0.5	1.0	62
FBgn0000564	1	0	0	0	1.0	1.0	0
FBgn0000565	0	0	0	0	1.0	1.0	54
FBgn0000566	10	8	39	23	0.05589722669971113	1.0	94
FBgn0000567	27	1	0	1	1.0	1.0	35
FBgn0000568	16	1	2	4	0.6875000000000004	1.0	481
FBgn0000575	7	6	23	14	0.18774155899882297	1.0	125
FBgn0000576	15	0	0	0	1.0	1.0	0
FBgn0000577	15	0	0	0	1.0	1.0	0
FBgn0000578	24	1	1	0	1.0	1.0	63
FBgn0000579	24	10	27	34	0.4426260049464713	1.0	332
FBgn0000581	20	1	2	0	0.5	1.0	43
FBgn0000588	25	1	1	0	1.0	1.0	3
FBgn0000591	0	0	0	0	1.0	1.0	0
FBgn0000592	6	2	1	3	0.6250000000000001	1.0	11
FBgn0000594	3	0	0	0	1.0	1.0	0
FBgn0000606	5	0	0	0	1.0	1.0	0
FBgn0000611	4	1	2	0	0.5	1.0	61
FBgn0000615	13	2	10	0	0.001953125	0.2930934330445252	41
FBgn0000617	6	2	2	2	1.0	1.0	16
FBgn0000618	0	0	0	0	1.0	1.0	9
FBgn0000625	7	0	0	0	1.0	1.0	0
FBgn0000629	17	3	2	1	0.6250000000000002	1.0	32
FBgn0000630	23	0	0	0	1.0	1.0	0
FBgn0000633	25	0	0	0	1.0	1.0	2
FBgn0000634	5	0	0	0	1.0	1.0	13
FBgn0000635	5	3	4	0	0.125	1.0	29
FBgn0000636	31	18	16	2	0.0013122558593750013	0.22427508474766544	44
FBgn0000639	71	0	0	0	1.0	1.0	0
FBgn0000640	7	0	0	0	1.0	1.0	0
FBgn0000644	2	0	0	0	1.0	1.0	0
FBgn0000658	17	0	0	0	1.0	1.0	2
FBgn0000659	6	4	8	22	0.01612480171024802	1.0	152
FBgn0000662	3	2	4	3	1.0	1.0	67
FBgn0000667	1	0	0	0	1.0	1.0	43
FBgn0000709	11	0	0	0	1.0	1.0	11
FBgn0000711	3	3	1	1	1.0	1.0	84
FBgn0000715	5	0	0	0	1.0	1.0	0
FBgn0000719	13	1	1	0	1.0	1.0	10
FBgn0000721	63	2	3	7	0.3437500000000002	1.0	119
FBgn0000723	18	9	8	14	0.28627872467041	1.0	63
FBgn0000808	2	0	0	0	1.0	1.0	0
FBgn0000810	8	2	2	3	0.9999999999999998	1.0	8
FBgn0000826	1	0	0	0	1.0	1.0	0
FBgn0000927	4	0	0	0	1.0	1.0	0
