sample	condition	stock	line	resistance	sampleID	D3.uncorrected.death
s01	Naive	25174	DGRP-208	resistant	DGRP-208_Naive	8.4
s02	Naive	25175	DGRP-301	susceptible	DGRP-301_Naive	100
s03	Naive	25176	DGRP-303	resistant	DGRP-303_Naive	11.1
s04	Naive	25180	DGRP-313	resistant	DGRP-313_Naive	7.3
s05	Naive	25183	DGRP-335	resistant	DGRP-335_Naive	20.8
s06	Naive	25186	DGRP-360	resistant	DGRP-360_Naive	6.7
s07	Naive	25189	DGRP-379	resistant	DGRP-379_Naive	21
s08	Naive	25195	DGRP-486	resistant	DGRP-486_Naive	10.7
s09	Naive	25199	DGRP-639	susceptible	DGRP-639_Naive	94.6
s10	Naive	25200	DGRP-707	susceptible	DGRP-707_Naive	100
s11	Naive	25205	DGRP-774	susceptible	DGRP-774_Naive	93.3
s12	Naive	25745	DGRP-714	susceptible	DGRP-714_Naive	95.2
s13	Naive	28125	DGRP-038	susceptible	DGRP-038_Naive	88.8
s15	Naive	28138	DGRP-101	susceptible	DGRP-101_Naive	95.2
s16	Naive	28141	DGRP-129	resistant	DGRP-129_Naive	7.6
s17	Naive	28144	DGRP-142	resistant	DGRP-142_Naive	15.3
s18	Naive	28154	DGRP-217	resistant	DGRP-217_Naive	14
s19	Naive	28160	DGRP-237	resistant	DGRP-237_Naive	16.8
s20	Naive	28164	DGRP-280	susceptible	DGRP-280_Naive	100
s21	Naive	28165	DGRP-287	susceptible	DGRP-287_Naive	100
s22	Naive	28171	DGRP-332	resistant	DGRP-332_Naive	15.2
s23	Naive	28192	DGRP-386	susceptible	DGRP-386_Naive	93.8
s24	Naive	28196	DGRP-426	resistant	DGRP-426_Naive	13.7
s25	Naive	28198	DGRP-441	resistant	DGRP-441_Naive	18.5
s26	Naive	28204	DGRP-502	susceptible	DGRP-502_Naive	94.8
s27	Naive	28208	DGRP-535	susceptible	DGRP-535_Naive	97.3
s28	Naive	28220	DGRP-721	susceptible	DGRP-721_Naive	89.1
s29	Naive	28223	DGRP-738	resistant	DGRP-738_Naive	4.8
s31	Naive	28235	DGRP-802	resistant	DGRP-802_Naive	2.7
s32	Naive	28241	DGRP-818	susceptible	DGRP-818_Naive	92.5
s33	Naive	28255	DGRP-882	susceptible	DGRP-882_Naive	93.3
s34	Naive	28257	DGRP-890	susceptible	DGRP-890_Naive	88.8
s35	Naive	28260	DGRP-897	resistant	DGRP-897_Naive	1.5
s36	Naive	28262	DGRP-907	resistant	DGRP-907_Naive	15.6
s37	Naive	28263	DGRP-908	susceptible	DGRP-908_Naive	98.9
s38	Naive	28274	DGRP-085	susceptible	DGRP-085_Naive	100
s39	Naive	29651	DGRP-040	susceptible	DGRP-040_Naive	98.1
s40	Naive	29653	DGRP-229	susceptible	DGRP-229_Naive	98.5
s41	Treated	25174	DGRP-208	resistant	DGRP-208_Treated	8.4
s42	Treated	25175	DGRP-301	susceptible	DGRP-301_Treated	100
s43	Treated	25176	DGRP-303	resistant	DGRP-303_Treated	11.1
s44	Treated	25180	DGRP-313	resistant	DGRP-313_Treated	7.3
s45	Treated	25183	DGRP-335	resistant	DGRP-335_Treated	20.8
s46	Treated	25186	DGRP-360	resistant	DGRP-360_Treated	6.7
s47	Treated	25189	DGRP-379	resistant	DGRP-379_Treated	21
s48	Treated	25195	DGRP-486	resistant	DGRP-486_Treated	10.7
s49	Treated	25199	DGRP-639	susceptible	DGRP-639_Treated	94.6
s50	Treated	25200	DGRP-707	susceptible	DGRP-707_Treated	100
s51	Treated	25205	DGRP-774	susceptible	DGRP-774_Treated	93.3
s52	Treated	25745	DGRP-714	susceptible	DGRP-714_Treated	95.2
s53	Treated	28125	DGRP-038	susceptible	DGRP-038_Treated	88.8
s55	Treated	28138	DGRP-101	susceptible	DGRP-101_Treated	95.2
s56	Treated	28141	DGRP-129	resistant	DGRP-129_Treated	7.6
s57	Treated	28144	DGRP-142	resistant	DGRP-142_Treated	15.3
s58	Treated	28154	DGRP-217	resistant	DGRP-217_Treated	14
s59	Treated	28160	DGRP-237	resistant	DGRP-237_Treated	16.8
s60	Treated	28164	DGRP-280	susceptible	DGRP-280_Treated	100
s61	Treated	28165	DGRP-287	susceptible	DGRP-287_Treated	100
s62	Treated	28171	DGRP-332	resistant	DGRP-332_Treated	15.2
s63	Treated	28192	DGRP-386	susceptible	DGRP-386_Treated	93.8
s64	Treated	28196	DGRP-426	resistant	DGRP-426_Treated	13.7
s65	Treated	28198	DGRP-441	resistant	DGRP-441_Treated	18.5
s66	Treated	28204	DGRP-502	susceptible	DGRP-502_Treated	94.8
s67	Treated	28208	DGRP-535	susceptible	DGRP-535_Treated	97.3
s68	Treated	28220	DGRP-721	susceptible	DGRP-721_Treated	89.1
s69	Treated	28223	DGRP-738	resistant	DGRP-738_Treated	4.8
s71	Treated	28235	DGRP-802	resistant	DGRP-802_Treated	2.7
s72	Treated	28241	DGRP-818	susceptible	DGRP-818_Treated	92.5
s73	Treated	28255	DGRP-882	susceptible	DGRP-882_Treated	93.3
s74	Treated	28257	DGRP-890	susceptible	DGRP-890_Treated	88.8
s75	Treated	28260	DGRP-897	resistant	DGRP-897_Treated	1.5
s76	Treated	28262	DGRP-907	resistant	DGRP-907_Treated	15.6
s77	Treated	28263	DGRP-908	susceptible	DGRP-908_Treated	98.9
s78	Treated	28274	DGRP-085	susceptible	DGRP-085_Treated	100
s79	Treated	29651	DGRP-040	susceptible	DGRP-040_Treated	98.1
s80	Treated	29653	DGRP-229	susceptible	DGRP-229_Treated	98.5
