Time	Status	Genotype	Treatment
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
96	0	w-	uc
24	1	w-	pe
24	1	w-	pe
24	1	w-	pe
24	1	w-	pe
48	1	w-	pe
48	1	w-	pe
48	1	w-	pe
48	1	w-	pe
48	1	w-	pe
72	1	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
96	0	w-	pe
24	1	ms771	uc
24	1	ms771	uc
24	1	ms771	uc
24	1	ms771	uc
24	1	ms771	uc
48	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
72	1	ms771	uc
96	1	ms771	uc
96	1	ms771	uc
96	1	ms771	uc
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
