Time	Status	Genotype	Treatment
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
72	0	w-	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
24	1	ms771	pe
48	1	ms771	pe
